tested?,enabled,stop_trading_today_if_thisAlgo_losing_trades_count,stop_trading_today_if_thisAlgo_winning_trades_count,stop_trading_today_if_thisAlgo_total_trades_count,expiry_minutes,this_algo_max_concurrent_pending_trades,min_breakdown_sequence_len,max_breakdown_sequence_len,breakdown_streak_continuation_mode,breakdowntype,bd_start_min_breakdown_percent,min_breakdown_total_percent,after_bd_need_x_15greenc,entry_max_minutes_after_bdend,forget_about_latest_breakdown_after_x_15m_candles,entryrange_range_percentspot,secret_tp_enabled,secret_tp_range_percent,secret_tp_greenguard_pricediff_at_least,tp_enabled,tp_notsecret_range_percent,sl_enabled,sl_points,closetrade_after_some_time,closetrade_after_some_time_butOnlyIfProfit,closetrade_after_some_time_but_ProfitPercent_Needed,closetrade_after_x_minutes_from_breakdown,max_open_positions
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_CLOSES,CLOSES,0.20,0.60,1,75,6,20.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OHLC_AVG,OHLC_AVG,0.20,0.60,1,75,6,20.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_LOW,LOW,0.20,0.60,1,75,6,20.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OC_MID,OC_MID,0.20,0.60,1,75,6,20.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_HL_MID,HL_MID,0.20,0.60,1,75,6,20.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_CLOSES,CLOSES,0.20,0.60,1,75,6,20.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OHLC_AVG,OHLC_AVG,0.20,0.60,1,75,6,20.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_LOW,LOW,0.20,0.60,1,75,6,20.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OC_MID,OC_MID,0.20,0.60,1,75,6,20.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_HL_MID,HL_MID,0.20,0.60,1,75,6,20.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_CLOSES,CLOSES,0.20,0.60,1,75,6,20.00,true,45,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OHLC_AVG,OHLC_AVG,0.20,0.60,1,75,6,20.00,true,45,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_LOW,LOW,0.20,0.60,1,75,6,20.00,true,45,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OC_MID,OC_MID,0.20,0.60,1,75,6,20.00,true,45,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_HL_MID,HL_MID,0.20,0.60,1,75,6,20.00,true,45,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_CLOSES,CLOSES,0.20,0.60,1,75,6,20.00,true,75,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OHLC_AVG,OHLC_AVG,0.20,0.60,1,75,6,20.00,true,75,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_LOW,LOW,0.20,0.60,1,75,6,20.00,true,75,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OC_MID,OC_MID,0.20,0.60,1,75,6,20.00,true,75,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_HL_MID,HL_MID,0.20,0.60,1,75,6,20.00,true,75,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_CLOSES,CLOSES,0.20,0.60,1,75,6,33.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OHLC_AVG,OHLC_AVG,0.20,0.60,1,75,6,33.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_LOW,LOW,0.20,0.60,1,75,6,33.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OC_MID,OC_MID,0.20,0.60,1,75,6,33.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_HL_MID,HL_MID,0.20,0.60,1,75,6,33.00,false,0,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_CLOSES,CLOSES,0.20,0.60,1,75,6,33.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_OHLC_AVG,OHLC_AVG,0.20,0.60,1,75,6,33.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
false,true,999,999,3,15,1,3,9,BREAKDOWN_STREAK_CONTINUATION_LOW,LOW,0.20,0.60,1,75,6,33.00,true,20,8.00,true,150,false,0.00,false,true,2.00,90,10
