start,end,levelPrice,categories,tag
2024.01.01,2024.01.05,4796,weekly_stacked_tuesday_wednesday,weeklyDown1
2024.01.01,2024.01.05,4765,weekly,weeklyDown2
2024.01.01,2024.01.05,4735,weekly_stacked_thursday,weeklyDown3
2024.01.01,2024.01.05,4710,weekly_stacked_friday_thursday,weeklyDown4
2024.01.01,2024.01.05,4680,weekly,weeklyDown5
2024.01.01,2024.01.05,4823,weekly_pivot_stacked_tuesday_wednesday,weeklyPivot
2024.01.01,2024.01.05,4841,weekly_stacked_tuesday,weeklyUp1
2024.01.01,2024.01.05,4870,weekly,weeklyUp2
2024.01.01,2024.01.05,4900,weekly,weeklyUp3
2024.01.01,2024.01.05,4920,weekly,weeklyUp4
2024.01.01,2024.01.05,4940,weekly,weeklyUp5
2024.01.02,2024.01.02,4808,daily_tuesday,dailyDown1
2024.01.02,2024.01.02,4788,daily_tuesday,dailyDown3
2024.01.02,2024.01.02,4855,daily_tuesday,dailyUp2
2024.01.03,2024.01.03,4781,daily_wednesday,dailyDown1
2024.01.03,2024.01.03,4767,daily_wednesday,dailyDown2
2024.01.03,2024.01.03,4750,daily_wednesday,dailyDown3
2024.01.03,2024.01.03,4808,daily_wednesday,dailyUp1
2024.01.04,2024.01.04,4725,daily_thursday,dailyDown2
2024.01.04,2024.01.04,4747,daily_thursday_pivot,dailyPivot
2024.01.04,2024.01.04,4767,daily_thursday,dailyUp1
2024.01.04,2024.01.04,4787,daily_thursday,dailyUp2
2024.01.05,2024.01.05,4725,daily_friday,dailyDown1
2024.01.05,2024.01.05,4694,daily_friday,dailyDown3
2024.01.05,2024.01.05,4737,daily_friday_pivot,dailyPivot
2024.01.05,2024.01.05,4747,daily_friday,dailyUp1
2024.01.05,2024.01.05,4767,daily_friday,dailyUp2
2024.01.08,2024.01.08,4730,daily_monday,dailyDown1
2024.01.08,2024.01.08,4694,daily_monday,dailyDown3
2024.01.08,2024.01.08,4746,daily_monday_pivot,dailyPivot
2024.01.08,2024.01.12,4720,weekly,weeklyDown1
2024.01.08,2024.01.12,4710,weekly_stacked_monday,weeklyDown2
2024.01.08,2024.01.12,4675,weekly,weeklyDown3
2024.01.08,2024.01.12,4645,weekly,weeklyDown4
2024.01.08,2024.01.12,4633,weekly,weeklyDown5
2024.01.08,2024.01.12,4756,weekly_pivot_stacked_monday,weeklyPivot
2024.01.08,2024.01.12,4767,weekly_stacked_monday,weeklyUp1
2024.01.08,2024.01.12,4795,weekly,weeklyUp2
2024.01.08,2024.01.12,4825,weekly_stacked_friday_thursday_tuesday_wednesday,weeklyUp3
2024.01.08,2024.01.12,4841,weekly_stacked_friday_thursday_tuesday,weeklyUp4
2024.01.08,2024.01.12,4870,weekly,weeklyUp5
2024.01.09,2024.01.09,4786,daily_tuesday,dailyDown1
2024.01.09,2024.01.09,4773,daily_tuesday,dailyDown2
2024.01.09,2024.01.09,4763,daily_tuesday,dailyDown3
2024.01.09,2024.01.09,4796,daily_tuesday_pivot,dailyPivot
2024.01.09,2024.01.09,4808,daily_tuesday,dailyUp1
2024.01.10,2024.01.10,4786,daily_wednesday,dailyDown1
2024.01.10,2024.01.10,4773,daily_wednesday,dailyDown2
2024.01.10,2024.01.10,4763,daily_wednesday,dailyDown3
2024.01.10,2024.01.10,4796,daily_wednesday_pivot,dailyPivot
2024.01.10,2024.01.10,4808,daily_wednesday,dailyUp1
2024.01.11,2024.01.11,4808,daily_thursday,dailyDown1
2024.01.11,2024.01.11,4796,daily_thursday,dailyDown2
2024.01.11,2024.01.11,4786,daily_thursday,dailyDown3
2024.01.11,2024.01.11,4855,daily_thursday,dailyUp2
2024.01.12,2024.01.12,4808,daily_friday,dailyDown1
2024.01.12,2024.01.12,4793,daily_friday,dailyDown2
2024.01.12,2024.01.12,4783,daily_friday,dailyDown3
2024.01.12,2024.01.12,4855,daily_friday,dailyUp2
2024.01.15,2024.01.19,4792,weekly,weeklyDown1
2024.01.15,2024.01.19,4760,weekly,weeklyDown2
2024.01.15,2024.01.19,4730,weekly_stacked_thursday,weeklyDown3
2024.01.15,2024.01.19,4700,weekly,weeklyDown4
2024.01.15,2024.01.19,4675,weekly,weeklyDown5
2024.01.15,2024.01.19,4839,weekly_pivot,weeklyPivot
2024.01.15,2024.01.19,4850,weekly_stacked_friday_tuesday,weeklyUp1
2024.01.15,2024.01.19,4870,weekly,weeklyUp2
2024.01.15,2024.01.19,4900,weekly,weeklyUp3
2024.01.15,2024.01.19,4920,weekly,weeklyUp4
2024.01.15,2024.01.19,4940,weekly,weeklyUp5
2024.01.16,2024.01.16,4808,daily_tuesday,dailyDown1
2024.01.16,2024.01.16,4793,daily_tuesday,dailyDown2
2024.01.16,2024.01.16,4783,daily_tuesday,dailyDown3
2024.01.16,2024.01.16,4824,daily_tuesday_pivot,dailyPivot
2024.01.16,2024.01.16,4841,daily_tuesday,dailyUp1
2024.01.17,2024.01.17,4781,daily_wednesday,dailyDown1
2024.01.17,2024.01.17,4767,daily_wednesday,dailyDown2
2024.01.17,2024.01.17,4801,daily_wednesday_pivot,dailyPivot
2024.01.17,2024.01.17,4814,daily_wednesday,dailyUp1
2024.01.17,2024.01.17,4824,daily_wednesday,dailyUp2
2024.01.17,2024.01.17,4841,daily_wednesday,dailyUp3
2024.01.18,2024.01.18,4765,daily_thursday,dailyDown1
2024.01.18,2024.01.18,4748,daily_thursday,dailyDown2
2024.01.18,2024.01.18,4779,daily_thursday_pivot,dailyPivot
2024.01.18,2024.01.18,4801,daily_thursday,dailyUp1
2024.01.18,2024.01.18,4814,daily_thursday,dailyUp2
2024.01.19,2024.01.19,4793,daily_friday,dailyDown1
2024.01.19,2024.01.19,4775,daily_friday,dailyDown2
2024.01.19,2024.01.19,4765,daily_friday,dailyDown3
2024.01.19,2024.01.19,4811,daily_friday_pivot,dailyPivot
2024.01.19,2024.01.19,4824,daily_friday,dailyUp1
2024.01.19,2024.01.19,4841,daily_friday,dailyUp2
2024.01.22,2024.01.22,4845,daily_monday,dailyDown1
2024.01.22,2024.01.22,4886,daily_monday,dailyUp1
2024.01.22,2024.01.26,4835,weekly_stacked_monday,weeklyDown1
2024.01.22,2024.01.26,4810,weekly,weeklyDown2
2024.01.22,2024.01.26,4780,weekly,weeklyDown3
2024.01.22,2024.01.26,4746,weekly,weeklyDown4
2024.01.22,2024.01.26,4710,weekly,weeklyDown5
2024.01.22,2024.01.26,4860,weekly_pivot_stacked_monday_thursday_tuesday_wednesday,weeklyPivot
2024.01.22,2024.01.26,4900,weekly_stacked_friday_monday,weeklyUp1
