magicprefix,tp,sl,profitfactor,projected_PF_if_next_future_trade_is_a_win,projected_PF_if_next_future_trade_is_a_loss,projected_PF_if_next_2_future_trades_is_a_loss,traderate,weekly_traderate,max_loseday_streak,max_notrades_streak,avg_notrades_streak,tradesCount,tradedDaysCount,allDaysCount,allDays_startDate,allDays_endDate
all(127-129-130-138-141-142-155-157-171-174-183-196-226-237-258-268-291-325-380),14.0,14.0,0.94,"","","",0.20,0.61,6,37,5.12,205,35,175,2025-09-29,2026-07-02
127,14.0,14.0,0.54,0.67,0.47,0.42,0.06,0.25,5,49,17.18,11,10,175,2025-09-29,2026-07-02
129,14.0,14.0,0.54,0.67,0.47,0.42,0.06,0.25,5,49,17.18,11,10,175,2025-09-29,2026-07-02
130,14.0,14.0,5.00,5.34,3.75,3.00,0.08,0.39,2,49,12.33,18,14,175,2025-09-29,2026-07-02
138,14.0,14.0,0.73,0.92,0.61,0.52,0.05,0.22,4,59,21.22,9,8,175,2025-09-29,2026-07-02
141,14.0,14.0,0.54,0.67,0.47,0.42,0.06,0.25,5,49,17.18,11,10,175,2025-09-29,2026-07-02
142,14.0,14.0,0.54,0.67,0.47,0.42,0.06,0.25,5,49,17.18,11,10,175,2025-09-29,2026-07-02
155,14.0,14.0,0.54,0.67,0.47,0.42,0.06,0.25,5,49,17.18,11,10,175,2025-09-29,2026-07-02
157,14.0,14.0,0.54,0.67,0.47,0.42,0.06,0.25,5,49,17.18,11,10,175,2025-09-29,2026-07-02
171,14.0,14.0,0.73,0.92,0.61,0.52,0.05,0.22,4,59,21.22,9,8,175,2025-09-29,2026-07-02
174,14.0,14.0,0.73,0.92,0.61,0.52,0.05,0.22,4,59,21.22,9,8,175,2025-09-29,2026-07-02
183,14.0,14.0,4.69,5.03,3.52,2.81,0.07,0.36,2,49,13.29,17,13,175,2025-09-29,2026-07-02
196,14.0,14.0,2.32,2.65,1.74,1.39,0.06,0.22,2,83,21.00,10,10,175,2025-09-29,2026-07-02
226,14.0,14.0,2.49,2.98,1.66,1.24,0.04,0.14,1,83,27.43,7,7,175,2025-09-29,2026-07-02
237,14.0,14.0,0.73,0.92,0.61,0.52,0.05,0.22,4,59,21.22,9,8,175,2025-09-29,2026-07-02
258,14.0,14.0,2.32,2.65,1.74,1.39,0.06,0.22,2,83,21.00,10,10,175,2025-09-29,2026-07-02
268,14.0,14.0,0.59,0.74,0.51,0.45,0.05,0.22,4,59,21.22,10,8,175,2025-09-29,2026-07-02
291,14.0,14.0,0.48,0.60,0.42,0.38,0.06,0.28,6,49,15.67,12,11,175,2025-09-29,2026-07-02
325,14.0,14.0,0.45,0.60,0.38,0.34,0.04,0.19,4,59,24.00,9,7,175,2025-09-29,2026-07-02
380,14.0,14.0,0.59,0.74,0.51,0.45,0.05,0.22,4,59,21.22,10,8,175,2025-09-29,2026-07-02
