analysis_set,min_trades_threshold,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_traderate,magic_prefix_weekly_traderate,grp_trades,grp_pf,grp_traderate,grp_weekly_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
full,6,107,677,0.91,0.81,0.97,34,2.44,0.06,0.28,70.59,20.13,4,PD_trend=PD_green | above_ONL=true | above_PDC=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,37,2.35,0.06,0.27,70.27,21.01,6,above_ONL=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
ON,6,107,366,0.9,0.55,0.93,36,2.26,0.05,0.26,69.44,19.54,5,above_ONL=true | above_PDO=true | above_dayLowSoFar=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
ON,6,107,366,0.9,0.55,0.93,32,2.25,0.06,0.27,68.75,17.45,4,PD_trend=PD_green | above_PDC=true | levelTag=weeklyUp1 | openGap_info=unknown,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,32,2.25,0.06,0.27,68.75,17.44,5,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_dayLowSoFar=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,35,2.21,0.06,0.26,68.57,18.39,5,PD_trend=PD_green | above_ONL=true | above_PDO=true | above_dayLowSoFar=true | levelTag=weeklyPivot,2024.01.19 14:04:11; 2024.02.16 14:50:18; 2024.02.28 03:27:59
ON,6,107,366,0.9,0.55,0.93,38,2.2,0.07,0.28,68.42,19.87,5,PD_trend=PD_green | above_ONL=true | above_dayLowSoFar=true | dayBrokePDL=false | levelTag=weeklyPivot,2024.01.19 14:04:11; 2024.02.16 14:50:18; 2024.02.28 03:27:59
ON,6,107,366,0.9,0.55,0.93,31,2.14,0.05,0.26,67.74,15.97,4,PD_trend=PD_green | above_PDC=true | above_midpoint=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,50,2.14,0.08,0.32,68.0,25.27,5,PD_trend=PD_green | above_ONH=true | above_PDH=true | above_dayHighSoFar=true | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,53,2.12,0.08,0.34,67.92,26.49,4,PD_trend=PD_green | above_ONL=true | above_PDH=true | above_dayHighSoFar=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
