date,symbol,sentTime,startTime,endTime,sessionSent,magic,priceStart,priceEnd,priceDiff,profit,type,level,levelTag,levelSlot,MFE,MAE,MAEfirst15,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2024.01.08,US500.pro,2024.01.08 04:29:02,2024.01.08 04:35:58,2024.01.08 10:24:19,ON,110115900118801414,4731.0,4723.8,-7.2,-1.44,DEAL_TYPE_BUY,4730.0,dailyDown1,59,0.3,-1.2,-0.7,7,4,,,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,8,8,1.0,7.0,7.0,0.1649,0.009,77,390,,unknown,unknown,PD_green,false,false,PDO;PDH;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,PDL,daily_monday,0,0,0,0
2024.01.08,US500.pro,2024.01.08 07:49:02,2024.01.08 07:53:31,2024.01.08 10:29:24,ON,101215920048301414,4729.6,4722.5,7.1,1.43,DEAL_TYPE_SELL,4730.0,dailyDown1,59,7.1,-6.4,-0.9,157,109,secretTPSL_tp,profit=7.1|threshold=7.0|tpWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,8,3,0.4,7.0,7.0,0.2079,0.011,1074,4089,,unknown,unknown,PD_green,false,false,PDO;PDH;PDC;ONH;dayHighSoFar;midpoint,PDL;ONL;dayLowSoFar,daily_monday,0,0,2,2
2024.01.08,US500.pro,2024.01.08 10:23:07,2024.01.08 10:30:11,2024.01.08 11:34:11,ON,111111900111101414,4721.0,4728.1,7.1,1.43,DEAL_TYPE_BUY,4720.0,weeklyDown1,19,7.1,-5.7,-3.1,65,3,secretTPSL_tp,profit=7.1|threshold=7.0|tpWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,1.0,7.0,7.0,0.7389,0.024,1678,593,,unknown,unknown,PD_green,false,false,PDO;PDH;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,PDL,weekly,0,0,0,0
2024.01.08,US500.pro,2024.01.08 10:29:01,2024.01.08 10:30:22,2024.01.08 11:27:54,ON,106111900042201414,4720.0,4727.1,7.1,1.43,DEAL_TYPE_BUY,4720.0,weeklyDown1,19,7.1,-4.7,-2.1,58,3,secretTPSL_tp,profit=7.1|threshold=7.0|tpWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,2,2,0.0,7.0,7.0,0.7365,0.017,1546,553,,unknown,unknown,PD_green,false,false,PDO;PDH;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,PDL,weekly,0,0,0,0
2024.01.08,US500.pro,2024.01.08 10:23:37,2024.01.08 10:30:22,2024.01.08 11:27:54,ON,115111900041101414,4720.0,4727.1,7.1,1.43,DEAL_TYPE_BUY,4720.0,weeklyDown1,19,7.1,-4.7,-2.1,58,3,secretTPSL_tp,profit=7.1|threshold=7.0|tpWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.0,7.0,7.0,0.7365,0.017,1546,553,,unknown,unknown,PD_green,false,false,PDO;PDH;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,PDL,weekly,0,0,0,0
2024.01.08,US500.pro,2024.01.08 15:30:41,2024.01.08 15:32:32,2024.01.08 15:59:42,RTH-IB,109216000111101414,4745.1,4752.5,-7.4,-1.47,DEAL_TYPE_SELL,4746.0,dailyPivot,60,3.8,-7.4,-0.7,12,28,secretTPSL_sl,profit=-7.4|lossThreshold=-7.0|slWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.9,7.0,7.0,0.3078,-0.013,394,885,,28.26,gapUp_Day,PD_green,false,false,PDH,PDO;PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,daily_monday_pivot,0,0,0,0
2024.01.08,US500.pro,2024.01.08 15:30:55,2024.01.08 15:34:44,2024.01.08 15:59:53,RTH-IB,101216000048801414,4745.6,4752.8,-7.2,-1.43,DEAL_TYPE_SELL,4746.0,dailyPivot,60,4.3,-7.2,-1.9,10,26,secretTPSL_sl,profit=-7.2|lossThreshold=-7.0|slWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,8,8,0.4,7.0,7.0,0.3109,-0.031,365,808,,28.26,gapUp_Day,PD_green,false,false,PDH,PDO;PDL;PDC;ONH;ONL;RTHH;RTHL;dayHighSoFar;dayLowSoFar;midpoint,daily_monday_pivot,0,0,0,0
2024.01.08,US500.pro,2024.01.08 16:24:03,2024.01.08 16:30:00,2024.01.08 16:49:18,RTH-IB,109212000115401414,4754.9,4762.0,-7.1,-1.42,DEAL_TYPE_SELL,4756.0,weeklyPivot,20,-0.9,-7.1,-2.6,1,20,secretTPSL_sl,profit=-7.1|lossThreshold=-7.0|slWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,5,4,1.1,7.0,7.0,0.0000,-0.074,0,772,,28.26,gapUp_Day,PD_green,false,false,PDH,PDO;PDL;PDC;ONH;ONL;RTHH;RTHL;dayHighSoFar;dayLowSoFar;midpoint,weekly_pivot_stacked_monday,0,0,0,0
2024.01.08,US500.pro,2024.01.08 16:26:01,2024.01.08 16:30:01,2024.01.08 16:49:40,RTH-IB,101212000048601414,4755.6,4762.8,-7.2,-1.42,DEAL_TYPE_SELL,4756.0,weeklyPivot,20,-0.4,-7.2,-1.9,1,20,secretTPSL_sl,profit=-7.2|lossThreshold=-7.0|slWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,8,6,0.4,7.0,7.0,0.0000,-0.069,0,783,,28.26,gapUp_Day,PD_green,false,false,PDH,PDO;PDL;PDC;ONH;ONL;RTHH;RTHL;dayHighSoFar;dayLowSoFar;midpoint,weekly_pivot_stacked_monday,0,0,0,0
2024.01.08,US500.pro,2024.01.08 16:26:01,2024.01.08 16:30:01,2024.01.08 16:49:40,RTH-IB,107212000047601414,4755.6,4762.8,-7.2,-1.42,DEAL_TYPE_SELL,4756.0,weeklyPivot,20,-0.4,-7.2,-1.9,1,20,secretTPSL_sl,profit=-7.2|lossThreshold=-7.0|slWhole=14|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,7,6,0.4,7.0,7.0,0.0000,-0.069,0,783,,28.26,gapUp_Day,PD_green,false,false,PDH,PDO;PDL;PDC;ONH;ONL;RTHH;RTHL;dayHighSoFar;dayLowSoFar;midpoint,weekly_pivot_stacked_monday,0,0,0,0
