magic	setup_type	ref1	ref2	openGap_info	PD_trend	dayBrokePDH	dayBrokePDL	count	winrate	avg_profit
121	price-betweenH-L	midpoint	PDO	gapDown_Day	PD_green	false	false	3	1.0	144.61
121	price-above	PDO	PDH	""	PD_green	true	false	3	1.0	149.21
121	price-betweenH-L	midpoint	PDL	""	PD_green	false	""	4	1.0	144.49
121	price-betweenH-L	midpoint	ONL	gapDown_Day	PD_green	false	false	3	1.0	144.61
121	price-above	PDH	PDL	""	PD_green	true	false	3	1.0	149.21
121	price-above	PDH	PDC	""	PD_green	true	false	3	1.0	149.21
121	price-above	PDH	ONL	""	PD_green	true	false	3	1.0	149.21
121	price-above	PDH	RTHL	""	PD_green	true	false	3	1.0	149.21
121	price-above	PDH	IBL	""	PD_green	true	false	3	1.0	149.21
121	price-above	PDH	dayLowSoFar	""	PD_green	true	false	3	1.0	149.21
121	price-above	PDH	midpoint	""	PD_green	true	false	3	1.0	149.21
121	price-betweenH-L	PDO	PDL	""	PD_green	false	true	2	1.0	145.09
121	price-betweenH-L	PDC	midpoint	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	PDO	IBH	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-above	PDL	IBH	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-above	ONL	IBH	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-above	RTHL	IBH	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-above	IBL	IBH	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-betweenH-L	dayHighSoFar	PDH	""	PD_green	true	false	3	1.0	149.21
121	price-betweenH-L	ONH	PDO	""	PD_green	""	""	10	1.0	148.82
121	price-betweenH-L	ONH	PDH	""	PD_green	true	false	3	1.0	149.21
121	price-betweenH-L	ONH	PDL	""	PD_green	""	""	12	1.0	148.19
121	price-betweenH-L	ONH	PDC	""	PD_green	true	""	6	1.0	151.22
121	price-betweenH-L	ONH	ONL	""	PD_green	""	""	11	1.0	148.56
121	price-betweenH-L	ONH	midpoint	""	PD_green	""	""	8	1.0	150.05
121	price-betweenH-L	RTHH	PDH	""	PD_green	true	false	3	1.0	149.21
121	price-above	PDC	IBH	gapDown_Day	PD_green	true	false	2	1.0	151.88
121	price-above	PDH	IBH	gapDown_Day	PD_green	true	false	2	1.0	151.88
121	price-betweenH-L	ONH	IBH	gapDown_Day	PD_green	""	""	3	1.0	150.25
121	price-betweenH-L	dayHighSoFar	IBH	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-betweenH-L	PDC	ONL	gapDown_Day	PD_green	false	""	6	1.0	145.48
121	price-betweenH-L	RTHH	IBH	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-betweenH-L	PDC	IBH	gapDown_Day	PD_green	false	true	2	1.0	146.5
121	price-betweenH-L	PDC	PDL	""	PD_green	false	""	7	1.0	145.28
121	price-betweenH-L	PDH	IBH	gapDown_Day	PD_green	false	true	2	1.0	146.5
121	price-above	IBH	midpoint	gapDown_Day	PD_green	""	""	4	1.0	149.19
122	price-betweenH-L	PDL	midpoint	gapDown_Day	PD_red	false	true	3	1.0	145.49
121	price-betweenH-L	PDC	PDO	gapDown_Day	PD_green	false	""	5	1.0	145.36
121	price-above	IBH	dayLowSoFar	gapDown_Day	PD_green	""	""	4	1.0	149.19
121	price-betweenH-L	ONH	dayLowSoFar	""	PD_green	""	""	14	0.929	127.03
121	price-betweenH-L	ONH	RTHL	""	PD_green	""	""	14	0.929	127.03
121	price-below	ONH	RTHH	""	PD_green	""	""	14	0.929	127.03
121	price-below	ONH	dayHighSoFar	""	PD_green	""	""	14	0.929	127.03
121	price-betweenH-L	ONH	IBL	""	PD_green	""	""	13	0.923	125.68
121	price-below	PDH	ONH	""	PD_green	""	""	11	0.909	120.98
121	price-below	ONH	IBH	""	PD_green	""	""	10	0.9	118.31
121	price-betweenH-L	PDC	dayLowSoFar	""	PD_green	false	""	9	0.889	113.01
121	price-betweenH-L	PDC	RTHL	""	PD_green	false	""	9	0.889	113.01
121	price-below	PDC	RTHH	""	PD_green	false	""	9	0.889	113.01
121	price-below	PDH	PDC	""	PD_green	false	""	9	0.889	113.01
121	price-below	PDC	dayHighSoFar	""	PD_green	false	""	9	0.889	113.01
121	price-betweenH-L	PDC	IBL	""	PD_green	false	""	8	0.875	109.06
121	price-below	PDC	ONH	""	PD_green	false	""	8	0.875	108.88
121	price-above	PDL	dayLowSoFar	""	PD_green	""	""	15	0.867	109.18
121	price-above	PDL	RTHL	""	PD_green	""	""	15	0.867	109.18
121	price-betweenH-L	dayHighSoFar	PDL	""	PD_green	""	""	15	0.867	109.18
121	price-betweenH-L	RTHH	PDL	""	PD_green	""	""	15	0.867	109.18
121	price-betweenH-L	dayHighSoFar	ONL	""	PD_green	""	""	14	0.857	106.69
121	price-above	ONL	dayLowSoFar	""	PD_green	""	""	14	0.857	106.69
121	price-above	ONL	RTHL	""	PD_green	""	""	14	0.857	106.69
121	price-above	PDL	IBL	""	PD_green	""	""	14	0.857	106.66
121	price-above	PDL	ONL	""	PD_green	""	""	14	0.857	106.69
121	price-betweenH-L	RTHH	ONL	""	PD_green	""	""	14	0.857	106.69
121	price-above	PDO	PDL	""	PD_green	""	""	13	0.846	103.66
121	price-betweenH-L	RTHH	PDO	""	PD_green	""	""	13	0.846	103.66
121	price-above	PDO	ONL	""	PD_green	""	""	13	0.846	103.66
121	price-above	PDO	RTHL	""	PD_green	""	""	13	0.846	103.66
121	price-betweenH-L	dayHighSoFar	PDO	""	PD_green	""	""	13	0.846	103.66
121	price-above	PDO	dayLowSoFar	""	PD_green	""	""	13	0.846	103.66
121	price-above	ONL	IBL	""	PD_green	""	""	13	0.846	103.77
121	price-below	PDC	midpoint	""	PD_green	false	""	6	0.833	96.33
121	price-below	PDH	midpoint	""	PD_green	false	""	6	0.833	96.33
121	price-betweenH-L	midpoint	RTHL	""	PD_green	false	""	6	0.833	96.33
121	price-betweenH-L	PDH	PDL	""	PD_green	""	""	12	0.833	99.18
121	price-below	PDC	IBH	""	PD_green	false	""	6	0.833	96.58
121	price-betweenH-L	midpoint	dayLowSoFar	""	PD_green	false	""	6	0.833	96.33
121	price-below	ONH	midpoint	""	PD_green	false	""	6	0.833	96.33
121	price-below	RTHH	midpoint	""	PD_green	false	""	6	0.833	96.33
121	price-below	dayHighSoFar	midpoint	""	PD_green	false	""	6	0.833	96.33
121	price-above	PDO	IBL	""	PD_green	""	""	12	0.833	100.25
121	price-below	RTHH	dayHighSoFar	""	PD_green	""	""	17	0.824	96.34
121	price-above	RTHL	dayLowSoFar	""	PD_green	""	""	17	0.824	96.34
121	price-betweenH-L	dayHighSoFar	dayLowSoFar	""	PD_green	""	""	17	0.824	96.34
121	price-betweenH-L	dayHighSoFar	RTHL	""	PD_green	""	""	17	0.824	96.34
121	price-betweenH-L	RTHH	RTHL	""	PD_green	""	""	17	0.824	96.34
121	price-betweenH-L	RTHH	dayLowSoFar	""	PD_green	""	""	17	0.824	96.34
121	price-betweenH-L	dayHighSoFar	midpoint	""	PD_green	""	""	11	0.818	96.35
121	price-betweenH-L	RTHH	midpoint	""	PD_green	""	""	11	0.818	96.35
121	price-above	RTHL	midpoint	""	PD_green	""	""	11	0.818	96.35
121	price-above	IBL	midpoint	""	PD_green	""	""	11	0.818	96.35
121	price-above	dayLowSoFar	midpoint	""	PD_green	""	""	11	0.818	96.35
121	price-above	PDL	midpoint	""	PD_green	""	""	11	0.818	96.35
121	price-above	ONL	midpoint	""	PD_green	""	""	11	0.818	96.35
121	price-betweenH-L	PDH	ONL	gapDown_Day	PD_green	""	""	11	0.818	95.09
