magic	QuantedV2_reserved_subset	unquantedTradeCount	unquantedProfitRatio	unquantedWinrate	unquantedPointsAvg	edgeKind	quantProfitFactor	quantWinratePct	quantTrades	quantPtsAvg	quantAvgProfit	quantNetProfit	quantFactor
20489240107001206	2548924010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20490240107001206	2549024010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20491240107001206	2549124010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20492240107001206	2549224010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20493240107001206	2549324010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20494240107001206	2549424010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20495240107001206	2549524010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20496240107001206	2549624010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20497240107001206	2549724010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20498240107001206	2549824010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
20499240107001206	2549924010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21401240107001206	2640124010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21402240107001206	2640224010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21403240107001206	2640324010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21404240107001206	2640424010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21405240107001206	2640524010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21406240107001206	2640624010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21407240107001206	2640724010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21408240107001206	2640824010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
21409240107001206	2640924010	12	2.7	58.3	4.55	quant	3.7	63.6	11	5.75	1.06	11.61	dayBrokePDH=false
