analysis_set,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_trade_rate,grp_trades,grp_pf,grp_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,4,PD_trend=PD_red | dayBrokePDL=false | above_ONL=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,2,PD_trend=PD_red | dayBrokePDL=false,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,4,PD_trend=PD_red | dayBrokePDL=false | above_PDL=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,4,PD_trend=PD_red | dayBrokePDL=false | below_dayHighSoFar=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,4,PD_trend=PD_red | dayBrokePDL=false | below_dayHighSoFar=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,4,PD_trend=PD_red | dayBrokePDL=false | below_dayHighSoFar=true | above_PDL=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,4,PD_trend=PD_red | dayBrokePDL=false | above_PDL=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,3,PD_trend=PD_red | dayBrokePDL=false | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,3,PD_trend=PD_red | dayBrokePDL=false | above_ONL=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
full,10,12,0.49,70.0,6,999.0,30.0,100.0,2.48,3,PD_trend=PD_red | dayBrokePDL=false | above_PDL=true,2026.01.05 03:37:02; 2026.01.05 16:37:05; 2026.01.05 17:18:43; 2026.01.05 18:26:11; 2026.01.14 02:48:19
