date,symbol,sentTime,startTime,endTime,sessionSent,magic,priceStart,priceEnd,priceDiff,profit,type,level,levelTag,levelSlot,MFE,MAE,MAEfirst15,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2026.01.12,US500.pro,2026.01.12 01:05:25,2026.01.12 01:05:40,2026.01.12 01:34:45,ON,262120200411001512,6993.6,6986.0,7.6,1.37,DEAL_TYPE_SELL,6994.0,weeklySmash,20,7.6,-2.7,-0.7,30,5,secretTPSL_tp,profit=7.6|threshold=7.5|tpWhole=15|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.3301,0.053,537,1075,,unknown,unknown,PD_green,false,false,PDH;PDC;ONH;dayHighSoFar;midpoint,PDO;PDL;ONL;dayLowSoFar,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,0,0,2,2
2026.01.12,US500.pro,2026.01.12 01:05:25,2026.01.12 01:05:40,2026.01.12 01:34:45,ON,272120200411001512,6993.6,6986.0,7.6,1.37,DEAL_TYPE_SELL,6994.0,weeklySmash,20,7.6,-2.7,-0.7,30,5,secretTPSL_tp,profit=7.6|threshold=7.5|tpWhole=15|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.3301,0.053,537,1075,,unknown,unknown,PD_green,false,false,PDH;PDC;ONH;dayHighSoFar;midpoint,PDO;PDL;ONL;dayLowSoFar,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,0,0,2,2
2026.01.30,US500.pro,2026.01.30 15:30:02,2026.01.30 15:31:54,2026.01.30 15:33:54,RTH-IB,241500880511001512,6966.0,6973.6,7.6,1.33,DEAL_TYPE_BUY,6966.5,todayRTHopen,00,7.6,-4.7,-4.7,3,2,secretTPSL_tp,profit=7.6|threshold=7.5|tpWhole=15|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,-0.5,7.5,6.0,0.8879,0.604,103,13,3,61.70,gapDown_Day,PD_red,false,false,PDO;PDH;PDC;ONH;dayHighSoFar,PDL;ONL;dayLowSoFar;midpoint,daily_tertiary_todayRTHopen,8,8,10,10
2026.02.02,US500.pro,2026.02.02 15:30:03,2026.02.02 15:30:03,2026.02.02 15:30:17,RTH-IB,241100360511001512,6943.0,6950.8,7.8,1.39,DEAL_TYPE_BUY,6943.7,todayRTHopen,00,7.8,0.4,0.4,1,1,secretTPSL_tp,profit=7.8|threshold=7.5|tpWhole=15|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,-0.7,7.5,6.0,1.0000,6.708,13,0,3,62.50,gapDown_Day,PD_red,false,true,PDO;PDH;PDC;ONH;dayHighSoFar,PDL;ONL;dayLowSoFar;midpoint,daily_tertiary_todayRTHopen,6,6,3,3
2026.02.02,US500.pro,2026.02.02 18:51:01,2026.02.02 18:54:11,2026.02.02 19:20:48,RTH-afterIB,232162000411001512,7014.6,7007.0,7.6,1.35,DEAL_TYPE_SELL,7015.0,dailyUp2,62,7.6,-2.9,-0.7,27,3,secretTPSL_tp,profit=7.6|threshold=7.5|tpWhole=15|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.7691,0.048,1216,364,,100.00,gapDown_Day,PD_red,true,true,,PDO;PDH;PDL;PDC;ONH;ONLRTHH;RTHL;IBL;IBH;dayHighSoFar;dayLowSoFar;midpoint,daily_monday,0,0,0,0
2026.02.09,US500.pro,2026.02.09 10:58:28,2026.02.09 10:59:24,2026.02.09 11:16:51,ON,262120000411001512,6943.6,6936.0,7.6,1.34,DEAL_TYPE_SELL,6944.0,weeklySmash,20,7.6,-1.5,-0.9,18,2,secretTPSL_tp,profit=7.6|threshold=7.5|tpWhole=15|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.9242,0.071,939,67,19,unknown,unknown,PD_green,true,false,PDH;PDC;ONH;dayHighSoFar;midpoint,PDO;PDL;ONL;dayLowSoFar,weekly_smash_stacked_monday_thursday_tuesday_wednesday,0,0,0,0
2026.02.09,US500.pro,2026.02.09 10:58:28,2026.02.09 10:59:24,2026.02.09 11:16:51,ON,272120000411001512,6943.6,6936.0,7.6,1.34,DEAL_TYPE_SELL,6944.0,weeklySmash,20,7.6,-1.5,-0.9,18,2,secretTPSL_tp,profit=7.6|threshold=7.5|tpWhole=15|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.9242,0.071,939,67,19,unknown,unknown,PD_green,true,false,PDH;PDC;ONH;dayHighSoFar;midpoint,PDO;PDL;ONL;dayLowSoFar,weekly_smash_stacked_monday_thursday_tuesday_wednesday,0,0,0,0
2026.02.09,US500.pro,2026.02.09 16:50:02,2026.02.09 16:56:37,2026.02.09 17:41:18,RTH-afterIB,232162000411001512,6983.6,6989.8,-6.2,-1.10,DEAL_TYPE_SELL,6984.0,dailyUp2,62,1.1,-6.2,-0.7,15,46,secretTPSL_sl,profit=-6.2|lossThreshold=-6.0|slWhole=12|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.0740,-0.018,196,2454,,100.00,gapDown_Day,PD_green,true,false,,PDO;PDH;PDL;PDC;ONH;ONLRTHH;RTHL;IBL;IBH;dayHighSoFar;dayLowSoFar;midpoint,daily_monday,0,0,0,0
2026.02.19,US500.pro,2026.02.19 01:23:53,2026.02.19 01:24:47,2026.02.19 02:01:42,ON,262420000411001512,6889.6,6896.0,-6.4,-1.15,DEAL_TYPE_SELL,6890.0,weeklySmash,20,2.1,-6.4,-0.7,2,38,secretTPSL_sl,profit=-6.4|lossThreshold=-6.0|slWhole=12|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.1598,-0.018,320,1664,,unknown,unknown,PD_green,false,false,PDH;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,PDO;PDL,weekly_smash_stacked_friday_wednesday,6,0,9,0
2026.02.19,US500.pro,2026.02.19 01:23:53,2026.02.19 01:24:47,2026.02.19 02:01:42,ON,272420000411001512,6889.6,6896.0,-6.4,-1.15,DEAL_TYPE_SELL,6890.0,weeklySmash,20,2.1,-6.4,-0.7,2,38,secretTPSL_sl,profit=-6.4|lossThreshold=-6.0|slWhole=12|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,1,1,0.4,7.5,6.0,0.1598,-0.018,320,1664,,unknown,unknown,PD_green,false,false,PDH;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,PDO;PDL,weekly_smash_stacked_friday_wednesday,6,0,9,0
